HS Code,HS Code Label
010121,Pure-bred breeding animals
010129,Other
010130,Asses
010190,Other
010221,Pure-bred breeding animals:
010229,Other:
010231,Pure-bred breeding animals
010239,Other
010290,Other
010310,Pure-bred breeding animals
010391,Weighing less than 50 kg
010392,Weighing 50 kg or more
010410,Sheep
010420,Goats
010511,Fowls of the species Gallus domesticus
010512,Turkeys
010513,Ducks
010514,Geese
010515,Guinea fowls
010594,Fowls of the species Gallus domesticus
010599,Other
010611,Primates
010612,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,Camels and other camelids (Camelidae)
010614,Rabbits and hares
010619,Other:
010620,Reptiles (including snakes and turtles):
010631,Birds of prey:
010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos):"
010633,Ostriches; emus (Dromaius novaehollandiae)
010639,Other:
010641,Bees
010649,Other
010690,Other:
020110,Carcasses and half-carcasses
020120,Other cuts with bone in:
020130,Boneless:
020210,Carcasses and half-carcasses
020220,Other cuts with bone in:
020230,Boneless:
020311,Carcasses and half-carcasses
020312,"Hams, shoulders and cuts thereof, with bone in"
020319,Other
020321,Carcasses and half-carcasses
020322,"Hams, shoulders and cuts thereof, with bone in"
020329,Other
020410,"Carcasses and half-carcasses of lamb, fresh or chilled"
020421,Carcasses and half-carcasses
020422,Other cuts with bone in:
020423,Boneless:
020430,"Carcasses and half-carcasses of lamb, frozen"
020441,Carcasses and half-carcasses
020442,Other cuts with bone in:
020443,Boneless:
020450,Meat of goats
020500,"AT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN"
020610,"Of bovine animals, fresh or chilled"
020621,Tongues
020622,Livers
020629,Other
020630,"Of swine, fresh or chilled"
020641,Livers
020649,Other
020680,"Other, fresh or chilled"
020690,"Other, frozen"
020711,"Not cut in pieces, fresh or chilled"
020712,"Not cut in pieces, frozen"
020713,"Cuts and offal, fresh or chilled"
020714,"Cuts and offal, frozen"
020724,"Not cut in pieces, fresh or chilled"
020725,"Not cut in pieces, frozen"
020726,"Cuts and offal, fresh or chilled"
020727,"Cuts and offal, frozen"
020741,"Not cut in pieces, fresh or chilled"
020742,"Not cut in pieces, frozen"
020743,"Fatty livers, fresh or chilled"
020744,"Other, fresh or chilled"
020745,"Other, frozen"
020751,"Not cut in pieces, fresh or chilled"
020752,"Not cut in pieces, frozen"
020753,"Fatty livers, fresh or chilled"
020754,"Other, fresh or chilled"
020755,"Other, frozen"
020760,Of guinea fowls
020810,Of rabbits or hares
020830,Of primates
020840,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
020850,"Of reptiles (including of crocodile, snake and turtle)"
020860,Of camels and other camelids (Camelidae)
020890,Other:
020910,Of pigs
020990,Other
021011,"Hams, shoulders and cuts thereof, with bone in"
021012,Bellies (streaky) and cuts thereof
021019,Other
021020,Meat of bovine animals
021091,Of primates
021092,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
021093,"Of reptiles (including of crocodile, snake and turtle)"
021099,Other
030111,Freshwater
030119,Other:
030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030192,Eels (Anguilla spp.)
030193,"Carp (Cyprinus carpio, Carassius Carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
030194,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
030195,Southern bluefin tunas (Thunnus maccoyii)
030199,Other
030211,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
030214,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
030219,Other
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
030222,Plaice (Pleuronectes platessa)
030223,Sole (Solea spp.)
030224,Turbots (Psetta maxima)
030229,Other
030231,Albacore or longfinned tunas (Thunnus alalunga)
030232,Yellowfin tunas (Thunnus albacares)
030233,Skipjack or stripe-bellied bonito
030234,Bigeye tunas (Thunnus obesus)
030235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
030236,Southern bluefin tunas (Thunnus maccoyii)
030239,Other
030241,"Herrings (Clupea harengus, Clupea pallasii)"
030242,Anchovies (Engraulis spp.)
030243,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
030244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
030245,Jack and horse mackerel (Trachurus spp.)
030246,Cobia (Rachycentron canadum)
030247,Swordfish (Xiphias gladius)
030251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030252,Haddock (Melanogrammus aeglefinus)
030253,Coalfish (Pollachius virens)
030254,"Hake (Merluccius spp., Urophycis spp.)"
030255,Alaska Pollack (Theraga chalcogramma)
030256,"Blue whiting (Micromesistius poutassou, Micromesistius australis)"
030259,Other
030271,Tilapias (Oreochromis spp.)
030272,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030273,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
030274,Eels (Anguilla spp.)
030279,Other
030281,Dogfish and other sharks
030282,Rays and skates (Rajidae)
030283,Toothfish (Dissostichus spp.)
030284,Seabass (Dicentrarchus spp.)
030285,Seabream (Sparidae)
030289,Other
030290,Livers and roes
030311,Sockeye salmon (red salmon) (Oncorhynchus nerka)
030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
