AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,1,3186,,4070,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201703,March 2017,HS,,,242,,Fiji,,,,,,2,Exports,,36,Australia,2017
,,,,1,8226,,16914,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201703,March 2017,HS,,,520,,Nauru,,,,,,2,Exports,,36,Australia,2017
,,,,1,31109,,23235,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201701,January 2017,HS,,,784,,United Arab Emirates,,,,,,2,Exports,,36,Australia,2017
,,,,1,45858,,37179,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201712,December 2017,HS,,,242,,Fiji,,,,,,2,Exports,,36,Australia,2017
,,,,1,15264,,15923,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201712,December 2017,HS,,,258,,French Polynesia,,,,,,2,Exports,,36,Australia,2017
,,,,1,90,,153,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201712,December 2017,HS,,,296,,Kiribati,,,,,,2,Exports,,36,Australia,2017
,,,,1,372,,23520,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201408,August 2014,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2014
,,,,1,227,,14493,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201408,August 2014,HS,,,156,,China,,,,,,1,Imports,,36,Australia,2014
,,,,1,145,,9027,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201408,August 2014,HS,,,842,,United States of America,,,,,,1,Imports,,36,Australia,2014
,,,,1,64000,,74526,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201509,September 2015,HS,,,0,,World,,,,,,4,Re-imports,,36,Australia,2015
,,,,1,64000,,74526,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201509,September 2015,HS,,,36,,Australia,,,,,,4,Re-imports,,36,Australia,2015
,,,,1,760643,,563372,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,0,,World,,,,,,2,Exports,,36,Australia,2016
,,,,1,24000,,11226,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,48,,Bahrain,,,,,,2,Exports,,36,Australia,2016
,,,,1,17365,,14151,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,242,,Fiji,,,,,,2,Exports,,36,Australia,2016
,,,,1,945,,808,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,258,,French Polynesia,,,,,,2,Exports,,36,Australia,2016
,,,,1,135049,,60250,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,344,,"China, Hong Kong SAR",,,,,,2,Exports,,36,Australia,2016
,,,,1,11484,,27604,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,360,,Indonesia,,,,,,2,Exports,,36,Australia,2016
,,,,1,23746,,18324,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,458,,Malaysia,,,,,,2,Exports,,36,Australia,2016
,,,,1,273,,337,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,520,,Nauru,,,,,,2,Exports,,36,Australia,2016
,,,,1,56655,,59432,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,540,,New Caledonia,,,,,,2,Exports,,36,Australia,2016
,,,,1,1800,,4640,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,548,,Vanuatu,,,,,,2,Exports,,36,Australia,2016
,,,,1,146032,,67940,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,554,,New Zealand,,,,,,2,Exports,,36,Australia,2016
,,,,1,91230,,124993,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,598,,Papua New Guinea,,,,,,2,Exports,,36,Australia,2016
,,,,1,92,,82,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,634,,Qatar,,,,,,2,Exports,,36,Australia,2016
,,,,1,150932,,133926,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,702,,Singapore,,,,,,2,Exports,,36,Australia,2016
,,,,1,100800,,39337,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,784,,United Arab Emirates,,,,,,2,Exports,,36,Australia,2016
,,,,1,240,,323,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,798,,Tuvalu,,,,,,2,Exports,,36,Australia,2016
,,,,1,102060,,131553,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201411,November 2014,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2014
,,,,1,26460,,17269,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201411,November 2014,HS,,,36,,Australia,,,,,,1,Imports,,36,Australia,2014
,,,,1,75600,,114284,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201411,November 2014,HS,,,842,,United States of America,,,,,,1,Imports,,36,Australia,2014
,,,,1,14,,1158,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201507,July 2015,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2015
,,,,1,14,,1158,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201507,July 2015,HS,,,410,,Rep. of Korea,,,,,,1,Imports,,36,Australia,2015
,,,,1,323946,,263948,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201306,June 2013,HS,,,699,,India,,,,,,2,Exports,,36,Australia,2013
,,,,1,3312272,,4687302,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2016
,,,,1,165921,,182726,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,376,,Israel,,,,,,1,Imports,,36,Australia,2016
,,,,1,24900,,33530,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,724,,Spain,,,,,,1,Imports,,36,Australia,2016
,,,,1,22032,,36110,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,764,,Thailand,,,,,,1,Imports,,36,Australia,2016
,,,,1,219024,,245398,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,818,,Egypt,,,,,,1,Imports,,36,Australia,2016
,,,,1,2880395,,4189539,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201603,March 2016,HS,,,842,,United States of America,,,,,,1,Imports,,36,Australia,2016
,,,,1,4023,,3005,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201701,January 2017,HS,,,296,,Kiribati,,,,,,2,Exports,,36,Australia,2017
,,,,1,9,,1071,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201606,June 2016,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2016
,,,,1,9,,1071,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201606,June 2016,HS,,,554,,New Zealand,,,,,,1,Imports,,36,Australia,2016
,,,,1,68134,,54750,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201710,October 2017,HS,,,316,,Guam,,,,,,2,Exports,,36,Australia,2017
,,,,1,2987996,,1869680,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,0,,World,,,,,,2,Exports,,36,Australia,2016
,,,,1,45000,,35848,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,48,,Bahrain,,,,,,2,Exports,,36,Australia,2016
,,,,1,850,,949,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,90,,Solomon Isds,,,,,,2,Exports,,36,Australia,2016
,,,,1,11214,,10703,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,242,,Fiji,,,,,,2,Exports,,36,Australia,2016
,,,,1,16092,,13070,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,258,,French Polynesia,,,,,,2,Exports,,36,Australia,2016
,,,,1,729681,,350681,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,344,,"China, Hong Kong SAR",,,,,,2,Exports,,36,Australia,2016
,,,,1,47880,,33739,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,360,,Indonesia,,,,,,2,Exports,,36,Australia,2016
,,,,1,204120,,140819,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,392,,Japan,,,,,,2,Exports,,36,Australia,2016
,,,,1,606923,,398118,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,458,,Malaysia,,,,,,2,Exports,,36,Australia,2016
,,,,1,7200,,9644,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,520,,Nauru,,,,,,2,Exports,,36,Australia,2016
,,,,1,41955,,42000,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,540,,New Caledonia,,,,,,2,Exports,,36,Australia,2016
,,,,1,12350,,10333,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,548,,Vanuatu,,,,,,2,Exports,,36,Australia,2016
,,,,1,325841,,135634,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,554,,New Zealand,,,,,,2,Exports,,36,Australia,2016
,,,,1,72810,,74060,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,598,,Papua New Guinea,,,,,,2,Exports,,36,Australia,2016
,,,,1,19562,,17768,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,634,,Qatar,,,,,,2,Exports,,36,Australia,2016
,,,,1,510974,,400939,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,702,,Singapore,,,,,,2,Exports,,36,Australia,2016
,,,,1,66924,,53347,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,704,,Viet Nam,,,,,,2,Exports,,36,Australia,2016
,,,,1,268620,,142028,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201601,January 2016,HS,,,784,,United Arab Emirates,,,,,,2,Exports,,36,Australia,2016
,,,,1,2253493,,3484223,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201412,December 2014,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2014
,,,,1,544130,,413406,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201711,November 2017,HS,,,784,,United Arab Emirates,,,,,,2,Exports,,36,Australia,2017
,,,,1,4863531,,5070613,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201306,June 2013,HS,,,392,,Japan,,,,,,2,Exports,,36,Australia,2013
,,,,1,945645,,771604,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201704,April 2017,HS,,,818,,Egypt,,,,,,1,Imports,,36,Australia,2017
,,,,1,41280816,,47408329,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201709,September 2017,HS,,,0,,World,,,,,,2,Exports,,36,Australia,2017
