Original HS Code,Original HS Classification,Description in Original Classification,Consolidated HS code
010111,1996,Horses :-- Pure-bred breeding animals,010110
010119,1996,Horses :-- Other,
010120,1996,"Asses, mules and hinnies",
010190,2002,Other,
010190,2007,Live horses/asses/mules/hinnies other than pure-bred breeding animals,
010592,1996,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",010594
010592,2002,"Fowls of the species Gallus domesticus, weighing not more than 2,000 g",010594
010593,1996,"Other :-- Fowls of the species Gallus domesticus, weighing more than 2,000 g",010594
010593,2002,"Fowls of the species Gallus domesticus, weighing more than 2,000 g",010594
010611,2002,Primates,010600
010611,2007,Live primates,
010612,2002,"Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",
010612,2007,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia),
010619,2002,Other,
010619,2007,"Live mammals, n.e.s.",
010620,2002,Reptiles (including snakes and turtles),
010620,2007,"Live reptiles, incl. snakes & turtles",
010631,2002,Birds of prey,
010631,2007,Live birds of prey,
010632,2002,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",
010632,2007,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",
010639,2002,Other,
010639,2007,Live birds (excl. of 0106.31 & 0106.32),
010690,2002,Other,
010690,2007,"Live animals, n.e.s.",
020830,2002,Of primates,020890
020830,2007,"Meat & edible meat offal of primates, fresh/chilled/frozen",020890
020840,2002,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)",020890
020840,2007,"Meat & edible offal of whales, dolphins & porpoises (order Cetacea); of manatees & dugongs (order Sirenia), fresh/chilled/frozen",020890
020850,2002,Of reptiles (including snakes and turtles),020890
020850,2007,"Meat & edible offal of reptiles, incl. snakes & turtles, fresh/chilled/frozen",020890
021091,2002,Of primates,021090
021091,2007,"Meat & edible meat offal of primates, salted/in brine/dried/smoked, incl. edible flours/meals",021090
021092,2002,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of  manatees and dugongs (mammals of the order Sirenia)",021090
021092,2007,"Meat & edible meat offal of whales/dolphins/porpoises (order Cetacea)/manatees & dugongs (order Sirenia), salted/in brine/dried/smoked, incl. edible flours/meals",021090
021093,2002,Of reptiles (including snakes and turtles),021090
021093,2007,"Meat & edible meat offal of reptiles, incl. snakes & turtles, salted/in brine/dried/smoked, incl. edible flours/meals",021090
021099,2002,Other,021090
021099,2007,"Meat & edible meat offal, n.e.s., salted/in brine/dried/smoked, incl. edible flours/meals",021090
030194,2007,Live bluefin tunas (Thunnus thynnus),030199
030195,2007,Live southern bluefin tunas (Thunnus maccoyii),030199
030234,2002,Bigeye tunas (Thunnus obesus),030239
030234,2007,"Bigeye tunas (Thunnus obesus), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",030239
030235,2002,Bluefin tunas (Thunnus thynnus),030239
